feature,weight,normalized_weight
blood_loss_anemia_elixhauser,-23.121203269761967,-366.8665508858445
psychoses_elixhauser,-15.986406117717246,-253.65797813548087
const,-7.167123182113204,-113.72149325094009
expanded_elixhauser,-0.6237329518249387,-9.89683599249018
depression_elixhauser,-0.2953616298436881,-4.686533877174417
deficiency_anemia_elixhauser,-0.21174051663257595,-3.3597089266271416
diabetes_complicated_elixhauser,0.06302347056152427,1.0
valvular_disease_elixhauser,0.09591642269598263,1.521915912300448
alcohol_abuse_elixhauser,0.23744711202881041,3.7675981648299057
rheumatoid_arthritis/collagen_vascular_diseases_elixhauser,0.4513729893145044,7.161982437540768
hypertension_complicated_elixhauser,0.5207483674382668,8.26276881927513
lymphoma_elixhauser,0.5667725757427194,8.993039746826213
diabetes_uncomplicated_elixhauser,0.614407590880924,9.748869514907655
other_neurological_disorders_elixhauser,0.6167194457694625,9.785551958256782
hypothyroidism_elixhauser,0.700066698545664,11.108031536636028
renal_failure_elixhauser,0.7115771037537411,11.290668340124032
peptic_ulcer_disease_excluding_bleeding_elixhauser,0.8133361121743933,12.905289171284288
drug_abuse_elixhauser,0.8990790616768608,14.2657815202222
solid_tumor_without_metastasis_elixhauser,0.9354249460268603,14.842485469182266
peripheral_vascular_disorders_elixhauser,0.9681909768289096,15.362387507424714
hypertension_uncomplicated_elixhauser,1.0305368266586534,16.35163562839071
congestive_heart_failure_elixhauser,1.0653668584388356,16.904287386059003
obesity_elixhauser,1.1297812811098238,17.92635776868108
paralysis_elixhauser,1.183040923537713,18.77143408633478
pulmonary_circulation_disorders_elixhauser,1.184626620790968,18.79659451052479
metastatic_cancer_elixhauser,1.233123903678635,19.56610597118489
liver_disease_elixhauser,1.2976910662526246,20.590599893825317
chronic_pulmonary_disease_elixhauser,1.3043944558273886,20.69696327741937
cardiac_arrhythmias_elixhauser,1.3688741023123538,21.72006857312059
aids/hiv_elixhauser,1.6287615848571393,25.843730444313167
weight_loss_elixhauser,1.6879089812925234,26.782228370695112
coagulopathy_elixhauser,1.7886904723079473,28.381338830932933
fluid_and_electrolyte_disorders_elixhauser,1.832547449602484,29.077222077345443
